"oficina_productora","serie","subserie","descripcion","idioma","medio_conservacion","formato","informacion_publicada"
"Oficina Asesora Jurídica","Acciones Constitucionales","Acciones Populares","Agrupación documental en la que se conservan los documentos por los cuales una persona, colectivo o entidad acude ante un juez de la República en defensa y protección de los derechos e intereses colectivos enunciados en el artículo 88 de la Constitución Política de Colombia y el artículo 4 de la Ley 472 de 1998.","Español",,"PDF
Word
Papel","Disponible"
"Oficina Asesora Jurídica","Actas","Actas Comité de Conciliación","Se registran puntos tratados, definidos y acordados de la etapa previa y obligatoria de algunos procesos judiciales, en la cual la Entidad fija su posición a conciliar o no, y se establecen los términos y condiciones.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Actas","Actas Junta de Socios","Se registran puntos tratados, definidos, acordados y aprobados, sobre reformas estatutarias, estados financieros, informe de gestión de gerencia, elección de la firma de revisoría fiscal, entre otros.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Actas","Actas Junta Directiva","Se registran puntos tratados, definidos y acordados sobre la adopción de las reformas aprobadas por la Junta de Socios, presentación de los estados financieros periódicos, autorizaciones presupuestales, y sobre los lineamientos para la administración de la Entidad.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Acuerdos De Junta Directiva","N/A","Considerados de carácter administrativo y legal ya que reflejan las políticas y directrices sobre el funcionamiento de la entidad, desde que se generan regulan los procesos y las diferentes actividades propias de las funciones de la entidad, en ellos quedan consignados normas y decisiones de los órganos de dirección de la entidad.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Circulares","N/A","Disposiciones emitidas que contienen instrucciones dirigidas a los funcionarios públicos para la organización del funcionamiento interno de RTVC.","Español",,"Papel","Publicado"
"Oficina Asesora Jurídica","Conceptos Jurídicos","N/A","Registro que contiene las opiniones, apreciaciones o juicios, que se expresan en términos de conclusiones, sin efecto jurídico directo sobre la materia de qué trata, que sirve como simple elemento de información o criterio de orientación en los temas misionales de la entidad.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Derechos De Petición","N/A","Es una herramienta que permite conocer las inquietudes y manifestaciones de los usuarios con el fin de fortalecer los servicios que se ofrecen en la Entidad.","Español",,"TIFF
PDF
Papel","Disponible"
"Oficina Asesora Jurídica","Estatutos","N/A","Conjunto de normas, leyes o disposiciones que constituyen la Entidad.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Informes","Informes a Entidades Nacionales","Documento en el cual se refleja la gestión administrativa, actividades realizadas y la situación en general de RTVC ante algunas Entidades Nacionales.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Informes","Informes a Organismos de Control","Informe remitido a las entidades de control para dar a conocer los resultados de las ejecuciones, con el propósito de sustento para la continuidad de los proyectos y programas que ejecuta la Entidad.","Español",,"Papel","Disponible"
"Oficina Asesora Jurídica","Resoluciones","N/A","Acto administrativo por el cual se expresa una orden, es de carácter general, obligatorio y permanente, refiriéndose siempre al ámbito de competencia del servicio. Son originados en cumplimiento a las funciones que se establecen en la ley y su alcance puede ser nacional o local, dependiendo del nivel de descentralización de la Entidad.","Español",,"Papel","Publicado"
"Gestión Jurídica","Conciliaciones","Conciliaciones Extrajudiciales","Soportan las decisiones del comité encargado de estudiar y evaluar los procesos que cursen o hayan cursado en contra de la entidad, determinar las causas generadoras de los conflictos, procedencia de conciliaciones, acciones o llamamiento en garantía con fines de repetición.","Español",,"Papel","Disponible"
"Gestión Jurídica","Procesos","Procesos Administrativos","Secuencia de actos regidos por un conjunto de reglas, políticas y/o actividades con la finalidad de potenciar la eficiencia, consistencia y contabilidad de sus recursos humanos, técnicos y materiales.","Español",,"Papel","Disponible"
"Gestión Jurídica","Procesos","Procesos Cobro Coactivo","Es un procedimiento por medio del cual se recupera la cartera en mora de manera ágil, eficaz, eficiente y oportuna, haciendo uso de los mecanismos que la ley otorga a RTVC como una política de carácter permanente.","Español",,"Papel","Disponible"
"Gestión Jurídica","Procesos","Procesos Judiciales","Secuencia de actos regidos por un conjunto de reglas, políticas y/o actividades que se llevan a cabo para aplicar la ley hasta la resolución de un caso.","Español",,"Papel","Publicado"
"Procesos de Selección","Actas","Actas Comité de Contratación","Se registran puntos tratados, definidos y acordados de la contratación, en donde se aprueba la parte precontractual y contractual.","Español",,"Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Administración Delegada","Acuerdo por el que dos o más partes se comprometen recíprocamente a respetar y cumplir una serie de condiciones.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Consultoría","Se entiende por contrato de consultoría aquellos documentos generados en el proceso de contratación celebrado por las entidades estatales referidos a los estudios necesarios para la ejecución de proyectos de inversión, estudios de diagnóstico, prefactibilidad o factibilidad para programas o proyectos específicos, así como a las asesorías técnicas de coordinación, control y supervisión. Artículo 32 de la Ley 80 de 1993.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Coproducción","Los Contratos estatales son actos jurídicos generadores de obligaciones que celebren las entidades a las que se refiere la Ley 80 de 1993, derivados del ejercicio de la autonomía de la voluntad.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Encargo Fiduciario","Los Contratos estatales son actos jurídicos generadores de obligaciones que celebren las entidades a las que se refiere la Ley 80 de 1993, derivados del ejercicio de la autonomía de la voluntad.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Interventorías","Los Contratos estatales son actos jurídicos generadores de obligaciones que celebren las entidades a las que se refiere la Ley 80 de 1993, derivados del ejercicio de la autonomía de la voluntad.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Obra","Los Contratos de obra son los generados en el proceso de contratación celebrado por las entidades estatales para la construcción, mantenimiento, instalación y otros trabajos materiales sobre bienes inmuebles. Artículo 32 de la Ley 80 de 1993.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Prestación de Servicios","Los Contratos de Prestación de Servicios son los procesos de contratación celebrados por las entidades estatales con personas naturales o jurídicas con el objeto de realizar actividades relacionadas con la administración o funcionamiento de una entidad pública, derivados del ejercicio de la autonomía de la voluntad.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Producción por Encargo","Los Contratos estatales son actos jurídicos generadores de obligaciones que celebren las entidades a las que se refiere la Ley 80 de 1993, derivados del ejercicio de la autonomía de la voluntad.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos de Seguros","Los contratos de seguros son fuente primaria para realizar investigaciones sobre el acceso y el uso de los servicios financieros de las entidades en el manejo del riesgo o los perjuicios repentinos que puedan suceder.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Contratos","Contratos Interadministrativos","Los Contratos Interadministrativos son actos jurídicos generadores de obligaciones que celebren las entidades a las que se refiere la Ley 80 de 1993, derivados del ejercicio de la autonomía de la voluntad.","Español",,"PDF
Word
Papel","Disponible"
"Procesos de Selección","Órdenes De Compra O Servicio","N/A","Contrato mediante el cual se adquiere un producto o servicio.","Español",,"Papel","Disponible"
"Procesos de Selección","Procesos De Selección Declarados Desiertos","N/A","Procesos de selección que no dieron lugar a contratación.","Español",,"Papel","Disponible"
"Control Interno","Actas","Actas Comité de Coordinación Control Interno","Se registran los puntos tratados, definidos y acordados para mejorar el sistema de Control Interno.","Español",,"Papel","Disponible"
"Control Interno","Informes","Informes a Organismos de Control","Informe remitido a las entidades de control para dar a conocer los resultados de las ejecuciones, con el propósito de sustento para la continuidad de los proyectos y programas que ejecuta la Entidad.","Español",,"Papel
PDF","Publicado"
"Control Interno","Programas","Programa Auditoria de Control Interno","Documento cuya finalidad es planificar y establecer los objetivos a cumplir para evaluar y mejorar la eficacia de los procesos de operación, control y gobierno.","Español",,"Word
Papel","Disponible"
"Planeación","Actas","Actas Comité Institucional de Gestión y Desempeño","Reporte de la gestión administrativa de las entidades públicas el cual es regulado por el Departamento Administrativo de la Función Pública.","Español",,"Word
Papel","Disponible"
"Planeación","Actas","Actas Sistema de calidad y riesgos","consolidan la información de la gestión institucional y efectúa su análisis respecto de los asuntos a cargo de la entidad, contienen información evidencial de la gestión administrativa de la entidad y toma de decisiones.","Español",,"Word
Papel","Disponible"
"Planeación","Anteproyecto de Presupuesto","N/A","El Anteproyecto de presupuesto está conformado por documentos que contienen la estimación detallada de los diferentes rubros presupuestales, ofrecen información amplia sobre los valores proyectados correspondientes.","Español",,"Word
Papel","Disponible"
"Planeación","Informes","Informes de Auditorias Internas de Calidad","Los Informes de Auditorías Internas de Calidad son documentos en los que se reflejan los resultados de verificación entre las disposiciones planificadas y los requisitos del Sistema de Gestión de Calidad establecidos por la entidad.","Español",,"Word
Papel","Publicado"
