"cname","uid","uid_size_bytes","uid_size_gigabytes"
"www.datos.gov.co","kcck-53z5","696,320","0.00064849854"
"www.datos.gov.co","9w3k-ewds","696,320","0.00064849854"
"www.datos.gov.co","xkk7-mqfz","688,128","0.00064086914"
"www.datos.gov.co","jvfj-dwyh","688,128","0.00064086914"
"www.datos.gov.co","d3ft-wu2b","688,128","0.00064086914"
"www.datos.gov.co","dbxj-83p3","688,128","0.00064086914"
"www.datos.gov.co","r6w4-eyn9","688,128","0.00064086914"
"www.datos.gov.co","n9yq-avyx","688,128","0.00064086914"
"www.datos.gov.co","exru-2fxi","688,128","0.00064086914"
"www.datos.gov.co","5y68-cxgj","688,128","0.00064086914"
"www.datos.gov.co","uzww-jg5d","688,128","0.00064086914"
"www.datos.gov.co","dxdu-ptdi","688,128","0.00064086914"
"www.datos.gov.co","sn28-aa8q","688,128","0.00064086914"
"www.datos.gov.co","wsrw-hr5d","688,128","0.00064086914"
"www.datos.gov.co","kufc-eb7g","679,936","0.00063323975"
"www.datos.gov.co","scja-3d4x","679,936","0.00063323975"
"www.datos.gov.co","mhvc-annj","679,936","0.00063323975"
"www.datos.gov.co","xx3e-e7ia","679,936","0.00063323975"
"www.datos.gov.co","j53x-b5ek","679,936","0.00063323975"
"www.datos.gov.co","kmsh-st7b","679,936","0.00063323975"
"www.datos.gov.co","kdqg-nj8h","679,936","0.00063323975"
"www.datos.gov.co","n2rx-k8hk","679,936","0.00063323975"
"www.datos.gov.co","exfj-5jcv","679,936","0.00063323975"
"www.datos.gov.co","un2r-cgca","679,936","0.00063323975"
"www.datos.gov.co","jhei-7ba8","671,744","0.00062561035"
"www.datos.gov.co","m594-24gr","671,744","0.00062561035"
"www.datos.gov.co","qq22-95mh","671,744","0.00062561035"
"www.datos.gov.co","fruv-tac5","671,744","0.00062561035"
"www.datos.gov.co","6exn-frei","671,744","0.00062561035"
"www.datos.gov.co","5hkf-tnmr","671,744","0.00062561035"
"www.datos.gov.co","57m7-a7ru","671,744","0.00062561035"
"www.datos.gov.co","aqu2-9x8t","671,744","0.00062561035"
"www.datos.gov.co","uc84-22nm","671,744","0.00062561035"
"www.datos.gov.co","ed4h-cd49","671,744","0.00062561035"
"www.datos.gov.co","nv5p-n5tg","671,744","0.00062561035"
"www.datos.gov.co","xysi-gjnw","671,744","0.00062561035"
"www.datos.gov.co","ayyk-ugz7","671,744","0.00062561035"
"www.datos.gov.co","uwq5-tgy9","671,744","0.00062561035"
"www.datos.gov.co","2sdv-6k6h","671,744","0.00062561035"
"www.datos.gov.co","8byh-6agx","671,744","0.00062561035"
"www.datos.gov.co","ssuz-z7nh","671,744","0.00062561035"
"www.datos.gov.co","c7vi-t4i8","671,744","0.00062561035"
"www.datos.gov.co","4tt7-bj9m","671,744","0.00062561035"
"www.datos.gov.co","6f9f-5ijq","671,744","0.00062561035"
"www.datos.gov.co","dyu3-v3bp","671,744","0.00062561035"
"www.datos.gov.co","3u57-g4aa","663,552","0.00061798096"
"www.datos.gov.co","p4n4-b67w","663,552","0.00061798096"
"www.datos.gov.co","r3rm-wm9b","663,552","0.00061798096"
"www.datos.gov.co","s3n2-sqjp","663,552","0.00061798096"
"www.datos.gov.co","egdv-j34n","663,552","0.00061798096"
"www.datos.gov.co","snsm-7ynr","663,552","0.00061798096"
"www.datos.gov.co","x2ba-c95w","663,552","0.00061798096"
"www.datos.gov.co","ariu-w8ts","663,552","0.00061798096"
"www.datos.gov.co","dwva-mu8m","663,552","0.00061798096"
"www.datos.gov.co","cx4p-wx4m","663,552","0.00061798096"
"www.datos.gov.co","2iqs-g9cv","663,552","0.00061798096"
"www.datos.gov.co","7u4m-3vt8","663,552","0.00061798096"
"www.datos.gov.co","qt97-jjgm","663,552","0.00061798096"
"www.datos.gov.co","kmw3-7a34","655,360","0.00061035156"
"www.datos.gov.co","whyy-diw3","655,360","0.00061035156"
"www.datos.gov.co","kxhm-gdhk","655,360","0.00061035156"
"www.datos.gov.co","iehb-mz9r","655,360","0.00061035156"
"www.datos.gov.co","f85f-q44g","655,360","0.00061035156"
"www.datos.gov.co","a4tc-kx5j","655,360","0.00061035156"
"www.datos.gov.co","sus2-myk9","655,360","0.00061035156"
"www.datos.gov.co","fqp8-dqwv","655,360","0.00061035156"
"www.datos.gov.co","htxz-n98v","655,360","0.00061035156"
"www.datos.gov.co","mkui-7tj5","647,168","0.00060272217"
"www.datos.gov.co","peji-wqbu","647,168","0.00060272217"
"www.datos.gov.co","2miq-99b6","647,168","0.00060272217"
"www.datos.gov.co","d84y-sy6t","647,168","0.00060272217"
"www.datos.gov.co","2qgv-8azv","647,168","0.00060272217"
"www.datos.gov.co","rwak-6n23","647,168","0.00060272217"
"www.datos.gov.co","hx5x-ykxm","647,168","0.00060272217"
"www.datos.gov.co","v9q7-wcbn","638,976","0.00059509277"
"www.datos.gov.co","xsqg-wscs","638,976","0.00059509277"
"www.datos.gov.co","k8te-8zbk","638,976","0.00059509277"
"www.datos.gov.co","pwvc-iyph","638,976","0.00059509277"
"www.datos.gov.co","jgbk-dxdm","638,976","0.00059509277"
"www.datos.gov.co","cs4f-7568","638,976","0.00059509277"
"www.datos.gov.co","a4fp-fcmh","638,976","0.00059509277"
"www.datos.gov.co","jcyi-sjz2","638,976","0.00059509277"
"www.datos.gov.co","dwbg-geen","638,976","0.00059509277"
"www.datos.gov.co","mxv2-m3k8","638,976","0.00059509277"
"www.datos.gov.co","5xfj-q98w","638,976","0.00059509277"
